trialnr	block	run	stim	keypress	go_nogo	face_onset	signal_onset	resp_onset	RT	accuracy	respmap	block_type
9	4	1	n_0.jpg	1	go	426695.366988	427195.223885	427545.175618	349.951732131	1	0	n_g
10	4	1	n_15.jpg	1	go	429795.120195	429995.12776	430361.931899	366.804139189	1	0	n_g
11	4	1	n_14.jpg	1	go	432728.515226	433045.174738	433578.598332	533.423593663	1	0	n_g
12	4	1	n_8.jpg	1	go	435461.915595	435861.922516	436345.258957	483.336441714	1	0	n_g
13	4	1	n_12.jpg	1	go	438595.24019	438845.398541	439295.26535	449.866808831	1	0	n_g
14	4	1	n_3.jpg	1	go	441111.861814	441345.201188	441928.435406	583.234217052	1	0	n_g
15	4	1	n_5.jpg	1	go	443728.521971	444078.645251	444428.554169	349.908918589	1	0	n_g
16	4	1	n_18.jpg	1	go	446761.822989	447211.902106	447228.501444	16.5993379733	1	0	n_g
17	4	1	n_4.jpg	1	go	449561.769384	449845.202361	450245.227463	400.025101638	1	0	n_g
0	5	1	c_17.jpg	1	go	454695.074331	454911.776539	455411.882693	500.106154123	1	0	c_g
1	5	1	c_0.jpg	1	go	457278.427312	457511.827094	457945.037383	433.210288387	1	0	c_g
2	5	1	c_15.jpg	1	go	460128.47904	460545.079434	460878.497514	333.418080686	1	0	c_g
3	5	1	c_12.jpg	1	go	462961.847269	463161.837534	463595.096207	433.258673555	1	0	c_g
4	5	1	c_7.jpg	1	go	465695.176087	465961.766041	466328.408017	366.641975569	1	0	c_g
5	5	1	c_3.jpg	1	go	468611.863281	469095.07656	469811.878471	716.801910539	1	0	c_g
6	5	1	c_13.jpg	1	go	471661.711439	472045.119315	472478.411711	433.292396549	1	0	c_g
7	5	1	c_11.jpg	1	go	474528.426432	474961.722348	475428.518687	466.796338915	1	0	c_g
8	5	1	c_8.jpg	1	go	477361.732201	477711.777184	478045.048643	333.271458968	1	0	c_g
9	5	1	c_16.jpg	1	go	480295.021078	480794.995859	481111.841287	316.845427866	1	0	c_g
10	5	1	c_4.jpg	1	go	483478.497925	483728.478864	484111.808737	383.329873062	1	0	c_g
11	5	1	c_10.jpg	1	go	486495.066179	486828.356112	487178.411653	350.055540306	1	0	c_g
12	5	1	c_5.jpg	1	go	489545.165354	489861.806978	490328.323562	466.516584675	1	0	c_g
13	5	1	c_6.jpg	1	go	492545.065945	493011.691029	493428.395231	416.704201827	1	0	c_g
14	5	1	c_14.jpg	1	go	495261.758182	495711.638187	496228.465961	516.827774611	1	0	c_g
15	5	1	c_2.jpg	1	go	498061.686983	498345.136088	498728.396463	383.260374367	1	0	c_g
16	5	1	c_18.jpg	1	go	500795.068584	501095.067176	501428.373824	333.306648181	1	0	c_g
17	5	1	c_1.jpg	1	go	503378.411008	503778.436109	504128.407782	349.971672684	1	0	c_g
0	6	1	s_12.jpg	1	go	508594.961902	508895.009466	509261.78692	366.777454037	1	0	s_n
1	6	1	s_11.jpg	1	go	511145.060783	511511.779296	511878.498101	366.71880535	1	0	s_n
2	6	1	s_3.jpg	1	no-go	514195.135326	514528.324677	514961.785102	433.460425039	0	0	s_n
3	6	1	s_14.jpg	1	go	517145.01797	517645.109755	518045.111984	400.00222865	1	0	s_n
4	6	1	s_15.jpg	1	go	520278.399161	520628.401037	520961.668391	333.267353561	1	0	s_n
5	6	1	s_13.jpg	1	no-go	523211.6593	523461.683933	523845.007648	383.323714948	0	0	s_n
6	6	1	s_4.jpg	1	go	525928.445083	526245.123362	526828.454056	583.330694142	1	0	s_n
7	6	1	s_2.jpg	1	go	528795.07005	529195.028879	529561.697246	366.668367479	1	0	s_n
8	6	1	s_8.jpg	1	no-go	531944.960846	532378.345028	532728.38268	350.037652457	0	0	s_n
9	6	1	s_6.jpg	1	go	534878.400451	535261.692789	535544.946301	283.25351247	1	0	s_n
